DATE,bit_price
11/2/17,7039.98
11/3/17,7170.01
11/4/17,7412.55
11/5/17,7392.0
11/6/17,6969.76
11/7/17,7126.63
11/8/17,7467.96
11/9/17,7156.0
11/10/17,6577.62
11/11/17,6346.7
11/12/17,5886.35
11/13/17,6535.87
11/14/17,6605.0
11/15/17,7294.0
11/16/17,7838.53
11/17/17,7714.71
11/18/17,7777.01
11/19/17,8031.82
11/20/17,8256.01
11/21/17,8109.0
11/22/17,8250.0
11/23/17,8031.16
11/24/17,8215.01
11/25/17,8795.5
11/26/17,9401.11
11/27/17,9768.71
11/28/17,9949.0
11/29/17,9935.98
11/30/17,9903.0
12/1/17,10869.84
12/2/17,10930.24
12/3/17,11290.0
12/4/17,11643.98
12/5/17,11718.35
12/6/17,14090.0
12/7/17,17390.01
12/8/17,16367.03
12/9/17,15309.98
12/10/17,15290.01
12/11/17,16885.76
12/12/17,17730.12
12/13/17,16689.61
12/14/17,16749.78
12/15/17,17738.67
12/16/17,19650.01
12/17/17,19378.99
12/18/17,19039.01
12/19/17,17838.73
12/20/17,16496.89
12/21/17,15758.8
12/22/17,14210.57
12/23/17,15075.89
12/24/17,14221.94
12/25/17,14171.98
12/26/17,15790.88
12/27/17,15367.08
12/28/17,14450.01
12/29/17,14565.05
12/30/17,12839.99
12/31/17,13863.13
1/1/18,13480.01
1/2/18,14781.51
1/3/18,15098.14
1/4/18,15144.99
1/5/18,16960.01
1/6/18,17098.99
1/7/18,16174.22
1/8/18,14993.74
1/9/18,14480.99
1/10/18,14875.18
1/11/18,13308.06
1/12/18,13820.0
1/13/18,14187.95
1/14/18,13656.23
1/15/18,13590.0
1/16/18,11570.01
1/17/18,11200.01
1/18/18,11305.53
1/19/18,11498.99
1/20/18,12762.8
1/21/18,11518.17
1/22/18,10766.7
1/23/18,10824.94
1/24/18,11356.79
1/25/18,11118.0
1/26/18,11086.89
1/27/18,11319.0
1/28/18,11536.0
1/29/18,11123.01
1/30/18,9995.0
1/31/18,10099.99
2/1/18,9014.23
2/2/18,8787.52
2/3/18,9240.0
2/4/18,8167.91
2/5/18,6905.19
2/6/18,7688.46
2/7/18,7575.75
2/8/18,8218.1
2/9/18,8671.01
2/10/18,8547.49
2/11/18,8072.99
2/12/18,8872.28
2/13/18,8520.01
2/14/18,9472.98
2/15/18,10031.23
2/16/18,10167.49
2/17/18,11121.5
2/18/18,10380.04
2/19/18,11140.0
2/20/18,11235.57
2/21/18,10454.27
2/22/18,9830.0
2/23/18,10144.99
2/24/18,9688.62
2/25/18,9597.99
2/26/18,10300.0
2/27/18,10566.57
2/28/18,10307.27
3/1/18,10895.92
3/2/18,11000.0
3/3/18,11432.5
3/4/18,11469.9
3/5/18,11377.54
3/6/18,10700.0
3/7/18,9920.0
3/8/18,9304.9
3/9/18,9255.0
3/10/18,8795.44
3/11/18,9533.88
3/12/18,9120.0
3/13/18,9145.41
3/14/18,8207.03
3/15/18,8259.99
3/16/18,8275.0
3/17/18,7865.02
3/18/18,8192.0
3/19/18,8589.0
3/20/18,8900.0
3/21/18,8891.81
3/22/18,8715.09
3/23/18,8927.1
3/24/18,8531.34
3/25/18,8453.0
3/26/18,8145.0
3/27/18,7793.61
3/28/18,7942.72
3/29/18,7079.99
3/30/18,6848.01
3/31/18,6928.5
4/1/18,6816.01
4/2/18,7045.01
4/3/18,7424.9
4/4/18,6791.68
4/5/18,6785.85
4/6/18,6619.01
4/7/18,6894.01
4/8/18,7020.01
4/9/18,6771.13
4/10/18,6824.99
4/11/18,6942.99
4/12/18,7916.0
4/13/18,7893.19
4/14/18,8003.11
4/15/18,8355.25
4/16/18,8048.93
4/17/18,7892.1
4/18/18,8152.05
4/19/18,8274.0
4/20/18,8866.27
4/21/18,8915.42
4/22/18,8795.01
4/23/18,8931.3
4/24/18,9650.0
4/25/18,8865.98
4/26/18,9272.11
4/27/18,8922.55
4/28/18,9329.99
4/29/18,9389.01
4/30/18,9243.82
5/1/18,9072.29
5/2/18,9190.48
5/3/18,9725.74
5/4/18,9685.0
5/5/18,9800.0
5/6/18,9600.0
5/7/18,9356.25
5/8/18,9177.81
5/9/18,9300.08
5/10/18,9010.51
5/11/18,8403.33
5/12/18,8475.0
5/13/18,8686.1
5/14/18,8670.0
5/15/18,8477.46
5/16/18,8344.0
5/17/18,8059.0
5/18/18,8238.51
5/19/18,8235.6
5/20/18,8516.86
5/21/18,8393.44
5/22/18,7987.7
5/23/18,7505.0
5/24/18,7584.15
5/25/18,7459.11
5/26/18,7337.95
5/27/18,7346.64
5/28/18,7107.94
5/29/18,7460.0
5/30/18,7380.01
5/31/18,7485.0
6/1/18,7514.32
6/2/18,7636.42
6/3/18,7706.37
6/4/18,7487.37
6/5/18,7612.51
6/6/18,7655.0
6/7/18,7684.93
6/8/18,7618.83
6/9/18,7496.4
6/10/18,6770.31
6/11/18,6881.0
6/12/18,6544.99
6/13/18,6302.32
6/14/18,6638.49
6/15/18,6391.22
6/16/18,6484.29
6/17/18,6447.16
6/18/18,6709.02
6/19/18,6736.41
6/20/18,6756.1
6/21/18,6719.01
6/22/18,6059.82
6/23/18,6178.29
6/24/18,6149.99
6/25/18,6246.01
6/26/18,6074.0
6/27/18,6132.17
6/28/18,5851.66
6/29/18,6202.36
6/30/18,6383.19
7/1/18,6349.5
7/2/18,6611.79
7/3/18,6502.62
7/4/18,6587.47
7/5/18,6532.95
7/6/18,6600.0
7/7/18,6753.28
7/8/18,6701.97
7/9/18,6664.01
7/10/18,6303.7
7/11/18,6390.04
7/12/18,6249.75
7/13/18,6216.29
7/14/18,6248.65
7/15/18,6348.73
7/16/18,6728.81
7/17/18,7315.01
7/18/18,7378.99
7/19/18,7470.01
7/20/18,7334.46
7/21/18,7408.0
7/22/18,7397.8
7/23/18,7720.09
7/24/18,8385.5
7/25/18,8157.15
7/26/18,7931.99
7/27/18,8184.21
7/28/18,8228.9
7/29/18,8216.34
7/30/18,8170.01
7/31/18,7727.27
8/1/18,7603.99
8/2/18,7533.92
8/3/18,7414.08
8/4/18,7005.0
8/5/18,7030.01
8/6/18,6938.0
8/7/18,6718.22
8/8/18,6282.5
8/9/18,6546.45
8/10/18,6146.01
8/11/18,6235.56
8/12/18,6316.01
8/13/18,6253.67
8/14/18,6195.01
8/15/18,6269.01
8/16/18,6315.9
8/17/18,6585.49
8/18/18,6396.64
8/19/18,6489.53
8/20/18,6258.74
8/21/18,6475.89
8/22/18,6359.99
8/23/18,6526.36
8/24/18,6690.88
8/25/18,6737.52
8/26/18,6709.98
8/27/18,6911.9
8/28/18,7071.01
8/29/18,7030.9
8/30/18,6983.0
8/31/18,7015.01
9/1/18,7191.08
9/2/18,7295.0
9/3/18,7256.98
9/4/18,7360.0
9/5/18,6687.96
9/6/18,6495.0
9/7/18,6395.01
9/8/18,6188.0
9/9/18,6235.01
9/10/18,6300.0
9/11/18,6282.53
9/12/18,6326.0
9/13/18,6485.99
9/14/18,6478.04
9/15/18,6518.68
9/16/18,6498.0
9/17/18,6250.7
9/18/18,6335.7
9/19/18,6386.94
9/20/18,6493.11
9/21/18,6750.0
9/22/18,6707.33
9/23/18,6696.99
9/24/18,6582.09
9/25/18,6436.89
9/26/18,6455.66
9/27/18,6680.01
9/28/18,6620.01
9/29/18,6581.0
9/30/18,6605.0
10/1/18,6572.83
10/2/18,6498.46
10/3/18,6466.03
10/4/18,6547.45
10/5/18,6593.94
10/6/18,6552.43
10/7/18,6570.0
10/8/18,6608.07
10/9/18,6589.48
10/10/18,6524.56
10/11/18,6154.69
10/12/18,6188.01
10/13/18,6196.0
10/14/18,6183.49
10/15/18,6440.42
10/16/18,6457.11
10/17/18,6443.7
10/18/18,6394.96
10/19/18,6382.99
10/20/18,6414.0
10/21/18,6415.88
10/22/18,6407.65
10/23/18,6395.14
10/24/18,6415.98
10/25/18,6395.58
10/26/18,6404.87
10/27/18,6409.12
10/28/18,6403.62
10/29/18,6266.0
10/30/18,6267.63
10/31/18,6304.18
11/1/18,6344.0
11/2/18,6349.8
11/3/18,6331.96
11/4/18,6423.28
11/5/18,6404.0
11/6/18,6448.5
11/7/18,6503.12
11/8/18,6406.24
11/9/18,6334.89
11/10/18,6347.42
11/11/18,6357.6
11/12/18,6327.87
11/13/18,6259.34
11/14/18,5605.46
11/15/18,5579.52
11/16/18,5512.24
11/17/18,5504.17
11/18/18,5560.0
11/19/18,4733.5
11/20/18,4349.23
11/21/18,4545.11
11/22/18,4265.36
11/23/18,4283.8
11/24/18,3774.99
11/25/18,3936.69
11/26/18,3731.32
11/27/18,3775.0
11/28/18,4225.03
11/29/18,4248.0
11/30/18,3976.0
12/1/18,4142.01
12/2/18,4103.19
12/3/18,3833.47
12/4/18,3901.84
12/5/18,3694.39
12/6/18,3433.26
12/7/18,3380.01
12/8/18,3401.0
12/9/18,3531.18
12/10/18,3410.15
12/11/18,3349.36
12/12/18,3430.24
12/13/18,3265.0
12/14/18,3195.71
12/15/18,3183.0
12/16/18,3195.0
12/17/18,3496.82
12/18/18,3667.77
12/19/18,3682.51
12/20/18,4075.34
12/21/18,3839.06
12/22/18,3980.46
12/23/18,3944.93
12/24/18,4034.0
12/25/18,3780.0
12/26/18,3809.88
12/27/18,3589.89
12/28/18,3888.06
12/29/18,3729.31
12/30/18,3829.0
12/31/18,3691.86
1/1/19,3826.1
1/2/19,3890.79
1/3/19,3787.57
1/4/19,3820.25
1/5/19,3798.62
1/6/19,4040.99
1/7/19,4006.01
1/8/19,3993.86
1/9/19,4004.12
1/10/19,3626.12
1/11/19,3635.69
1/12/19,3619.41
1/13/19,3514.24
1/14/19,3664.19
1/15/19,3580.76
1/16/19,3609.71
1/17/19,3640.65
1/18/19,3607.85
1/19/19,3682.65
1/20/19,3536.19
1/21/19,3531.76
1/22/19,3577.03
1/23/19,3553.01
1/24/19,3568.97
1/25/19,3562.17
1/26/19,3556.07
1/27/19,3531.02
1/28/19,3429.95
1/29/19,3397.42
1/30/19,3437.55
1/31/19,3411.5
2/1/19,3437.5
2/2/19,3468.43
2/3/19,3414.78
2/4/19,3409.57
2/5/19,3428.4
2/6/19,3367.36
2/7/19,3359.0
2/8/19,3621.99
2/9/19,3623.73
2/10/19,3648.84
2/11/19,3590.36
2/12/19,3588.06
2/13/19,3576.68
2/14/19,3561.5
2/15/19,3566.59
2/16/19,3582.37
2/17/19,3625.08
2/18/19,3867.0
2/19/19,3888.01
2/20/19,3938.99
2/21/19,3897.71
2/22/19,3942.02
2/23/19,4110.0
2/24/19,3734.22
2/25/19,3818.79
2/26/19,3799.48
2/27/19,3799.91
2/28/19,3792.14
3/1/19,3806.17
3/2/19,3809.7
3/3/19,3786.93
3/4/19,3700.72
3/5/19,3844.59
3/6/19,3851.89
3/7/19,3857.05
3/8/19,3843.12
3/9/19,3917.0
3/10/19,3900.93
3/11/19,3849.68
3/12/19,3860.0
3/13/19,3851.02
3/14/19,3853.95
3/15/19,3902.8
3/16/19,3990.0
3/17/19,3967.01
3/18/19,3970.5
3/19/19,4000.85
3/20/19,4031.85
3/21/19,3972.76
3/22/19,3983.78
3/23/19,3983.43
3/24/19,3969.52
3/25/19,3907.53
3/26/19,3921.45
3/27/19,4026.53
